Time (s),Signal (V)
1.72,2.139003295
1.722,2.310349953
1.724,2.498015342
1.726,2.457218518
1.728,2.2532344
1.73,2.090047106
1.732,1.747353789
1.734,1.894222353
1.736,2.008453459
1.738,2.032931553
1.74,2.220596942
1.742,2.228756306
1.744,2.375624871
1.746,2.400102965
1.748,2.261393765
1.75,2.008453459
1.752,1.673919506
1.754,1.975816
1.756,2.098206471
1.758,1.975816
1.76,2.13084393
1.762,2.220596942
1.764,2.416421694
1.766,2.3919436
1.768,2.212437577
1.77,2.057409647
1.772,1.673919506
1.774,1.935019177
1.776,2.041090918
1.778,2.081887742
1.78,2.13084393
1.782,2.163481389
1.784,2.40826233
1.786,2.334828047
1.788,2.220596942
1.79,1.959497271
1.792,1.608644589
1.794,1.951337906
1.796,1.951337906
1.798,1.918700448
1.8,2.081887742
1.802,2.171640753
1.804,2.465377883
1.806,2.3919436
1.808,2.187959483
1.81,1.877903624
1.812,1.616803953
1.814,1.845266165
1.816,1.926859812
1.818,2.090047106
1.82,2.204278212
1.822,2.139003295
1.824,2.342987412
1.826,2.318509318
1.828,2.147162659
1.83,1.877903624
1.832,1.657600777
1.834,1.918700448
1.836,2.000294095
1.838,1.975816
1.84,2.187959483
1.842,2.228756306
1.844,2.400102965
1.846,2.432740424
1.848,2.090047106
1.85,1.85342553
1.852,1.739194424
1.854,1.975816
1.856,1.935019177
1.858,2.024772189
1.86,2.155322024
1.862,2.179800118
1.864,2.465377883
1.866,2.351146777
1.868,2.179800118
1.87,1.779991248
1.872,1.641282048
1.874,1.951337906
1.876,2.057409647
1.878,2.057409647
1.88,2.171640753
1.882,2.204278212
1.884,2.440899789
1.886,2.400102965
1.888,2.228756306
1.89,1.845266165
1.892,1.763672518
1.894,1.926859812
1.896,2.024772189
1.898,2.081887742
1.9,2.212437577
1.902,2.245075036
1.904,2.506174706
1.906,2.375624871
1.908,2.13084393
1.91,1.763672518
1.912,1.845266165
1.914,2.024772189
1.916,1.983975365
1.918,2.090047106
1.92,2.171640753
1.922,2.2532344
1.924,2.506174706
1.926,2.310349953
1.928,2.171640753
1.93,1.796309977
1.932,1.861584895
1.934,2.041090918
1.936,1.967656636
1.938,2.13084393
1.94,2.302190589
1.942,2.294031224
1.944,2.5306528
1.946,2.294031224
1.948,2.171640753
1.95,1.918700448
1.952,1.926859812
1.954,2.041090918
1.956,2.081887742
1.958,2.1145252
1.96,2.342987412
1.962,2.3919436
1.964,2.514334071
1.966,2.367465506
1.968,2.326668683
1.97,1.902381718
1.972,1.894222353
1.974,2.065569012
1.976,2.155322024
1.978,2.220596942
1.98,2.359306142
1.982,2.457218518
1.984,2.68568073
1.986,2.457218518
1.988,2.3919436
1.99,1.975816
1.992,2.073728377
1.994,2.196118847
1.996,2.204278212
1.998,2.285871859
2,2.40826233
2.002,2.587768353
2.004,2.604087083
2.006,2.375624871
2.008,2.26955313
2.01,1.861584895
2.012,2.065569012
2.014,2.163481389
2.016,2.171640753
2.018,2.302190589
2.02,2.359306142
2.022,2.473537247
2.024,2.579608989
2.026,2.424581059
2.028,2.204278212
2.03,1.894222353
2.032,2.049250283
2.034,2.081887742
2.036,2.147162659
2.038,2.26955313
2.04,2.196118847
2.042,2.424581059
2.044,2.440899789
2.046,2.245075036
2.048,2.065569012
2.05,1.771831883
2.052,1.910541083
2.054,1.99213473
2.056,2.147162659
2.058,2.302190589
2.06,2.310349953
2.062,2.457218518
2.064,2.334828047
2.066,2.171640753
2.068,2.008453459
2.07,1.747353789
2.072,1.886062989
2.074,1.967656636
2.076,1.99213473
2.078,2.228756306
2.08,2.261393765
2.082,2.473537247
2.084,2.424581059
2.086,2.236915671
2.088,2.000294095
2.09,1.771831883
2.092,1.99213473
2.094,1.967656636
2.096,1.967656636
2.098,2.163481389
2.1,2.122684565
2.102,2.367465506
2.104,2.285871859
2.106,2.024772189
2.108,1.747353789
2.11,1.404660471
2.112,1.755513153
2.114,1.877903624
2.116,1.943178542
2.118,2.212437577
2.12,2.432740424
2.122,2.832549294
2.124,3.012055318
2.126,3.10180833
2.128,3.052852141
2.13,2.995736589
2.132,3.509776565
2.134,3.632167035
2.136,3.697441953
2.138,3.697441953
2.14,3.65664513
2.142,3.852469882
2.144,3.65664513
2.146,3.232358165
2.148,2.775433741
2.15,2.359306142
2.152,2.3919436
2.154,2.277712495
2.156,2.155322024
2.158,2.245075036
2.16,2.261393765
2.162,2.416421694
2.164,2.26955313
2.166,2.073728377
2.168,1.804469342
2.17,1.559688401
2.172,1.779991248
2.174,1.804469342
2.176,1.967656636
2.178,2.139003295
2.18,2.139003295
2.182,2.326668683
2.184,2.236915671
2.186,2.098206471
2.188,1.828947436
2.19,1.739194424
2.192,1.943178542
2.194,2.000294095
2.196,2.065569012
2.198,2.2532344
2.2,2.204278212
2.202,2.563290259
2.204,2.3919436
2.206,2.13084393
2.208,1.886062989
2.21,1.788150612
2.212,2.049250283
2.214,2.147162659
2.216,2.1145252
2.218,2.2532344
2.22,2.294031224
2.222,2.351146777
2.224,2.3919436
2.226,2.26955313
2.228,1.926859812
2.23,1.951337906
2.232,2.081887742
2.234,2.106365836
2.236,2.171640753
2.238,2.294031224
2.24,2.342987412
2.242,2.644883906
2.244,2.424581059
2.246,2.310349953
2.248,2.041090918
2.25,2.041090918
2.252,2.171640753
2.254,2.220596942
2.256,2.310349953
2.258,2.457218518
2.26,2.506174706
2.262,2.693840094
2.264,2.5306528
2.266,2.40826233
2.268,2.041090918
2.27,2.171640753
2.272,2.261393765
2.274,2.310349953
2.276,2.416421694
2.278,2.481696612
2.28,2.465377883
2.282,2.750955647
2.284,2.522493436
2.286,2.440899789
2.288,2.13084393
2.29,2.228756306
2.292,2.318509318
2.294,2.285871859
2.296,2.465377883
2.298,2.555130894
2.3,2.693840094
2.302,2.791752471
2.304,2.628565177
