Time (s),Signal (V)
2.102,2.305705382
2.104,2.565736724
2.106,2.704420107
2.108,2.739090953
2.11,2.652413839
2.112,2.461724188
2.114,2.149686577
2.116,1.993667771
2.118,1.958996926
2.12,2.080344885
2.122,2.271034536
2.124,2.565736724
2.126,2.72175553
2.128,2.756426375
2.13,2.60040757
2.132,2.409717919
2.134,2.149686577
2.136,1.958996926
2.138,1.906990657
2.14,2.04567404
2.142,2.219028268
2.144,2.548401302
2.146,2.739090953
2.148,2.756426375
2.15,2.60040757
2.152,2.409717919
2.154,2.080344885
2.156,1.958996926
2.158,1.941661503
2.16,2.097680308
2.162,2.253699114
2.164,2.565736724
2.166,2.704420107
2.168,2.704420107
2.17,2.565736724
2.172,2.392382496
2.174,2.04567404
2.176,1.906990657
2.178,1.872319812
2.18,2.028338617
2.182,2.184357422
2.184,2.531065879
2.186,2.652413839
2.188,2.669749261
2.19,2.548401302
2.192,2.357711651
2.194,2.097680308
2.196,1.958996926
2.198,1.958996926
2.2,2.080344885
2.202,2.288369959
2.204,2.617742993
2.206,2.72175553
2.208,2.72175553
2.21,2.548401302
2.212,2.392382496
2.214,2.063009463
2.216,1.906990657
2.218,1.941661503
2.22,2.097680308
2.222,2.305705382
2.224,2.617742993
2.226,2.72175553
2.228,2.669749261
2.23,2.513730456
2.232,2.305705382
2.234,2.04567404
2.236,1.906990657
2.238,1.906990657
2.24,2.115015731
2.242,2.340376228
2.244,2.635078416
2.246,2.756426375
2.248,2.739090953
2.25,2.531065879
2.252,2.340376228
2.254,2.080344885
2.256,1.958996926
2.258,1.958996926
2.26,2.167022
2.262,2.392382496
2.264,2.635078416
2.266,2.756426375
2.268,2.704420107
2.27,2.496395033
2.272,2.288369959
2.274,2.04567404
2.276,1.976332349
2.278,2.028338617
2.28,2.236363691
2.282,2.496395033
2.284,2.687084684
2.286,2.791097221
2.288,2.808432644
2.29,2.617742993
2.292,2.444388765
2.294,2.201692845
2.296,2.115015731
2.298,2.149686577
2.3,2.392382496
2.302,2.583072147
2.304,2.825768067
2.306,2.877774335
2.308,2.860438912
2.31,2.652413839
2.312,2.409717919
2.314,2.184357422
2.316,2.080344885
2.318,2.167022
2.32,2.375047073
2.322,2.635078416
2.324,2.84310349
2.326,2.895109758
2.328,2.825768067
2.33,2.617742993
2.332,2.340376228
2.334,2.097680308
2.336,1.993667771
2.338,2.115015731
2.34,2.271034536
2.342,2.531065879
2.344,2.72175553
2.346,2.808432644
2.348,2.669749261
2.35,2.461724188
2.352,2.201692845
2.354,2.011003194
2.356,1.941661503
2.358,1.993667771
2.36,2.219028268
2.362,2.47905961
2.364,2.669749261
2.366,2.72175553
2.368,2.652413839
2.37,2.444388765
2.372,2.149686577
2.374,1.941661503
2.376,1.92432608
2.378,1.993667771
2.38,2.184357422
2.382,2.47905961
2.384,2.669749261
2.386,2.704420107
2.388,2.635078416
2.39,2.461724188
2.392,2.149686577
2.394,1.958996926
2.396,1.889655234
2.398,2.028338617
2.4,2.184357422
2.402,2.496395033
2.404,2.617742993
2.406,2.652413839
2.408,2.513730456
2.41,2.288369959
2.412,1.941661503
2.414,1.750971852
2.416,1.750971852
2.418,1.820313543
2.42,2.04567404
2.422,2.496395033
2.424,2.84310349
2.426,3.172476523
2.428,3.328495329
2.43,3.432507866
2.432,3.467178711
2.434,3.640532939
2.436,3.987241396
2.438,4.247272738
2.44,4.420626966
2.442,4.576645772
2.444,4.281943584
2.446,4.021912241
2.448,3.813887168
2.45,3.39783702
2.452,2.617742993
2.454,2.028338617
2.456,1.525611355
2.458,1.386927973
2.46,1.594953046
2.462,1.941661503
2.464,2.115015731
2.466,2.167022
2.468,2.011003194
2.47,1.872319812
2.472,1.594953046
2.474,1.542946778
2.476,1.612288469
2.478,1.872319812
2.48,2.097680308
2.482,2.513730456
2.484,2.652413839
2.486,2.72175553
2.488,2.565736724
2.49,2.375047073
2.492,2.063009463
2.494,1.976332349
2.496,1.958996926
2.498,2.115015731
2.5,2.357711651
